id,"title","text","tags"
,"Subprocessors (overview)","Hosting: Vercel & Google Cloud; Email: AWS SES; Database: Neo4j; Maps: OSM/CARTO/Esri; Weather: Open-Meteo; Auth: Google; LLM: OpenAI (no training).","[""faq"",""privacy"",""legal"",""subprocessors""]"
,"Gamification (ECO/XP/Badges)","Youth earn ECO via Sidequests (social/environmental actions) with human validation, plus XP, badges, and titles. They can contribute ECO to favorite businesses.","[""gamification"",""eco"",""xp"",""badges"",""sidequests"",""faq""]"
,"Gamification basics (ECO/XP/Badges)","Youth earn ECO via Sidequests—social/environmental acts validated by humans. They also earn XP, badges, and titles, and can contribute ECO to favorite stores.","[""faq"",""gamification"",""eco"",""xp"",""badges"",""sidequests""]"
,"Using ECO","Youth can contribute ECO to favorite businesses and unlock deeper local rewards.","[""eco"",""contribution"",""gamification"",""faq""]"
,"How do youth contribute ECO to stores?","From the app, youth can contribute ECO to favorite businesses as a signal of support; contribution features deepen over time.","[""faq"",""eco"",""contribution"",""mechanics""]"
,"Messaging","Email live today; SMS soon; push later.","[""communications"",""email"",""sms"",""roadmap"",""faq""]"
,"Messaging channels","Email is live. SMS is coming soon. Push may follow.","[""faq"",""communications"",""email"",""sms"",""roadmap""]"
,"What is a values-aligned offer?","Practical discounts on eco-friendly, sustainable or locally-sourced products/services youth already need.","[""offers"",""values"",""examples"",""faq""]"
,"Offer types allowed","% off, $ off, BOGO, free item, happy-hour windows, first-visit only, loyalty repeats. Youth demand decides winners.","[""offers"",""mechanics"",""faq""]"
,"Offer types supported","% off, $ off, BOGO, free item, happy hours, first-visit only, loyalty repeats. Youth demand determines what sticks.","[""faq"",""offers"",""mechanics""]"
,"Offer guidance","No hard floor/ceiling. Be responsible and provisional; tune by observed results.","[""offers"",""best-practice"",""faq""]"
,"Recommended discount level","No hard rule—start small, observe, and tune. Add caps/time windows for sustainability.","[""faq"",""offers"",""best-practice""]"
,"Time to go live","~10 minutes from ‘yes’ to active QR.","[""onboarding"",""setup"",""sla"",""faq""]"
,"Business analytics","Dashboard shows impressions, scans, visits, repeat behavior, spend proxies, and performance trends.","[""analytics"",""business"",""dashboard"",""faq""]"
,"Business analytics available","Impressions, scans, visit patterns, repeat behavior, performance trends, and impact views. Depth grows as we scale.","[""faq"",""analytics"",""business"",""dashboard""]"
,"Impact dashboard","Shows tangible youth benefit and which Sidequest outcomes your offers incentivised.","[""impact"",""dashboard"",""analytics"",""faq""]"
,"Impact dashboard (youth outcomes)","Shows tangible youth benefit (savings, access) and which Sidequest outcomes your offers helped incentivise.","[""faq"",""impact"",""dashboard""]"
,"Controls for businesses","Full control: redemption caps, time windows, blackout days, edit/disable offers anytime.","[""business"",""controls"",""mechanics"",""faq""]"
,"Business control panel","Edit/pause offers anytime, set caps/time windows, update images/copy, and print your QR.","[""faq"",""mechanics"",""controls"",""business""]"
,"Assets needed","None required; logo/hero/menu/catalogue strongly recommended for better conversions.","[""onboarding"",""assets"",""best-practice"",""faq""]"
,"Alignment verification","Self-declare at signup; subject to inspection/auditing; youth can flag misalignment anytime.","[""values"",""governance"",""trust"",""faq""]"
,"Alignment verification (expanded)","Self-declare on signup; subject to inspection/audit. Youth can flag misalignment at any time.","[""faq"",""values"",""governance"",""trust""]"
,"Youth pricing","Free forever.","[""pricing"",""youth"",""faq""]"
,"Business pricing","Pay-what-you-want monthly. Change anytime. No lock-in. Avg currently ≈ $50/month. Many pay above the recommended price.","[""pricing"",""business"",""pwyw"",""faq""]"
,"Business pricing (PWYW),","(Same) Pay-what-you-want monthly. Change any time. No lock-in. Average currently around $50/month; many choose to pay above the recommendation.","[""faq"",""pricing"",""business"",""pwyw""]"
,"Cancellation","No fees or terms. Join/leave anytime in the My ECO Bizz dashboard.","[""pricing"",""business"",""policy"",""faq""]"
,"Cancellation terms","No fees or notice periods. Join/leave anytime in the dashboard.","[""faq"",""pricing"",""policy"",""business""]"
,"Anti-fraud (geo/cooldowns)","QRs are geofenced; cooldowns prevent replay; EcodiaOS monitors for patterns across devices and stores.","[""anti-fraud"",""security"",""mechanics"",""faq""]"
,"Anti-fraud controls","Geo-fenced QR checks, per-user/device cooldowns, anomaly detection in EcodiaOS, and store-level controls.","[""faq"",""anti-fraud"",""security""]"
,"Mistaken redemption","Fix via in-app/email support—fast adjustment; no store-side admin required.","[""support"",""policy"",""operations"",""faq""]"
,"Mistaken redemption handling","Trigger a quick fix from within the site or via email; adjustments are handled without store-side admin work.","[""faq"",""support"",""policy"",""operations""]"
,"Offline behavior","Store only needs the printed QR visible. Youth require data at scan (offline fallback coming).","[""mechanics"",""offline"",""operations"",""faq""]"
,"Offline behavior (store/youth)","Stores can stay offline once the QR is displayed. Youth need data at scan (offline fallback planned).","[""faq"",""mechanics"",""offline""]"
,"Go-live checklist (store)","1) Sign up  2) Create first offer  3) (Optional) Set contribution  4) Approve  5) Print/display QR.","[""onboarding"",""checklist"",""business"",""faq""]"
,"Go-live checklist","1) Sign up  2) Add store details  3) Create first offer  4) (Optional) set caps  5) Publish & display QR.","[""faq"",""onboarding"",""checklist"",""setup""]"
,"Approval SLA","Stores are approved within a day by Ecodia staff, subject to values screening.","[""faq"",""onboarding"",""sla"",""values""]"
,"How to change/pause an offer","Open dashboard → Select offer → Edit or toggle to pause. Changes take effect immediately.","[""faq"",""mechanics"",""controls"",""howto""]"
,"How to add images/logo","Dashboard → Store profile/Offer → Upload logo/hero/menu. High-contrast images convert better.","[""faq"",""howto"",""assets"",""best-practice""]"
,"Youth safety","No precise post-redemption tracking; location captured only at scan for fraud and analytics.","[""safety"",""privacy"",""policy"",""faq""]"
,"Youth safety commitments","No precise post-redemption tracking. Location is captured only at scan for fraud/analytics. Accessibility is a priority.","[""faq"",""safety"",""privacy"",""accessibility""]"
,"Accessibility commitments","Clear QR signage, high-contrast designs, text alternatives; iterative improvements with community feedback.","[""accessibility"",""policy"",""ux"",""faq""]"
,"Accessibility baseline","High-contrast QR signage, text alternatives, and continual improvement with community feedback.","[""faq"",""accessibility"",""ux"",""policy""]"
,"Why no points","We deliver real relief and belonging, not point inflation. Youth vote with spend and ECO contribution.","[""positioning"",""philosophy"",""offers"",""faq""]"
,"Why not points?","Points inflate and obscure value. We provide real relief and belonging—youth vote with spend and ECO contribution.","[""faq"",""philosophy"",""positioning""]"
,"Why ECO Local vs majors","We build local value loops and proof of impact, not offsets—liberating people from reliance on extractive chains.","[""differentiation"",""positioning"",""values"",""faq""]"
,"Difference vs big chains (neutral tone)","We build local value loops and transparent proof of impact; the aim is less reliance on extractive chains.","[""faq"",""differentiation"",""values""]"
,"Proof signals today","Early adopters voluntarily pay above the recommended PWYW—clear perceived value while case studies grow.","[""objections"",""credibility"",""pricing"",""faq""]"
,"Proof signals today (expanded)","Early adopters often pay above the recommended PWYW price—consistent signal of perceived value while case studies grow.","[""faq"",""credibility"",""impact""]"
,"Sidequests examples","Litter clean-ups, community volunteering, sustainable transport days, skill-building—each verified by humans to prevent cheating.","[""faq"",""sidequests"",""examples"",""eco""]"
,"Can multi-location stores join?","Yes—each location gets its own QR, caps, and analytics. Alignment is checked per store.","[""faq"",""business"",""multilocation"",""mechanics""]"
,"Franchise policy","Store-level practices must meet values; HQ affiliation alone does not guarantee acceptance.","[""faq"",""values"",""policy"",""franchise""]"
,"Receipts/invoices for PWYW","Monthly receipts are provided via the billing portal; update payment details or contribution level anytime.","[""faq"",""billing"",""pricing"",""pwyw""]"
,"Taxes & compliance (high-level),","Your offer is yours to fulfil. ECO Local facilitates discovery and redemption; stores are responsible for pricing, taxes, and compliance.","[""faq"",""legal"",""offers"",""policy""]"
,"Refunds/returns & mistaken charges,","Handle according to your standard policy; if a redemption contributed, request an adjustment through support to sync records.","[""faq"",""support"",""policy"",""offers""]"
,"Support contacts","Start with in-app/email support; business hours response with escalation if needed.","[""faq"",""support"",""sla"",""contact""]"
,"Roadmap (60–90 days)","SMS messaging, NFC tap redemption, dedicated store app, richer impact metrics, better fraud heuristics.","[""roadmap"",""mechanics"",""impact"",""anti-fraud""]"
,"Roadmap (near-term)","SMS messaging, NFC tap-to-redeem, dedicated store app, richer impact metrics, and stronger fraud heuristics.","[""faq"",""roadmap"",""mechanics"",""impact""]"
,"Meeting availability","Weekdays; local Sunshine Coast timezone. 15-minute intros preferred.","[""sales"",""meetings"",""cta"",""faq""]"
,"Meeting optionality","You can self-serve and publish in ~10 minutes or request a 15-minute walkthrough.","[""faq"",""onboarding"",""meetings""]"
,"Business signup path","ecodia.au → ECO Local → ‘I’m a business’ → create offer → display QR.","[""onboarding"",""flow"",""business"",""cta""]"
,"Youth signup path","ecodia.au → ECO Local → ‘I’m a young person’ → browse → scan at checkout.","[""onboarding"",""flow"",""youth"",""cta""]"
,"Impact metric examples","Visits, repeat rate, youth reach, estimated savings, ECO contributed, sidequest outcomes nudged.","[""impact"",""metrics"",""analytics"",""faq""]"
,"Qualified lead (internal)","Values-aligned local store, in pilot geo, ready to list an offer within 7 days.","[""internal"",""sales"",""lead-criteria""]"
,"North-star metric (internal)","Monthly youth redemptions per active store.","[""internal"",""metrics"",""nsm""]"
,"Secondary metrics (internal)","Store activation in ≤10 mins; % stores with weekly scans; avg PWYW $/store; repeat youth rate.","[""internal"",""metrics"",""ops""]"
,"Fraud edge cases","Screenshot reuse blocked by cooldown+geo; staff misuse flagged by anomalies; device clusters reviewed.","[""anti-fraud"",""security"",""ops"",""faq""]"
,"What happens if QR is screenshotted?","Cooldowns, geo checks, and pattern detection reduce replay. Staff can eyeball anomalies and report in one click.","[""faq"",""anti-fraud"",""ops"",""security""]"
,"How soon do analytics update?","Near-real-time for scans; aggregated reports refresh periodically.","[""faq"",""analytics"",""sla""]"
,"How do I stop redemptions temporarily?","Toggle the offer to paused, or set a zero daily cap; resume whenever you’re ready.","[""faq"",""controls"",""howto"",""operations""]"
,"Legal responsibility for offers","Stores are responsible for fulfillment; we facilitate discovery, redemption, and analytics.","[""legal"",""offers"",""policy"",""faq""]"
,"Data retention (baseline)","Operate on aggregates for reporting; limit raw retention; AU-first storage where practical.","[""privacy"",""data"",""policy"",""faq""]"
,"Data retention (baseline, expanded)","We favour aggregates for reporting and limit raw retention. Regional storage is AU-first where practical.","[""faq"",""privacy"",""data""]"
,"Escalation path","Most issues resolve via email. For urgent cases, we can escalate to a human within business hours.","[""faq"",""support"",""sla"",""escalation""]"
,"Accessibility of signage","Use high-contrast QR posters at eye level near checkout; we supply printable assets.","[""faq"",""accessibility"",""ops"",""assets""]"
,"Fix typos or wrong offer details","Edit the offer in dashboard → republish. Edits are live immediately; previous redemptions remain recorded.","[""faq"",""howto"",""offers"",""ops""]"
,"Staff onboarding tip","Brief staff with a one-pager: what ECO Local is, how QR scans work, and when caps apply.","[""faq"",""ops"",""staff"",""best-practice""]"
,"Edge case — shared devices","Device-level cooldowns reduce multi-account abuse; anomalies are flagged in EcodiaOS.","[""faq"",""anti-fraud"",""security"",""edge-cases""]"
,"Edge case — no mobile signal","Youth can queue a pending scan and submit when connected (planned); for now, scan with mobile data/Wi-Fi.","[""faq"",""mechanics"",""offline"",""edge-cases""]"
,"Can I change pricing tier later?","Yes—PWYW can be raised or lowered anytime; changes apply to the next billing cycle.","[""faq"",""pricing"",""pwyw"",""billing""]"
,"Do you provide case studies?","We’re building them now. Early signal: businesses paying above recommendation and returning youth traffic.","[""faq"",""credibility"",""impact""]"
,"Tagline set (voice)","Solarpunk, youthful, futuristic, local, extraordinary. ‘The future is RIGHTFULLY OURS.’","[""brand"",""voice"",""copy"",""faq""]"
,"Words to use","proof, not offsets • creating local value • people • planet • youth • future • RIGHTFULLY OURS","[""brand"",""voice"",""copy"",""faq""]"
,"Words to avoid","Greenwash, empty points, extractive loyalty, guilt framing.","[""brand"",""voice"",""guardrails"",""faq""]"
,"Mission line (voice)","Change comes from liberating the masses from reliance. The future is RIGHTFULLY OURS.","[""faq"",""mission"",""voice"",""brand""]"
,"Why no points? (philosophy tie-in)","We provide relief and belonging rather than point inflation—youth and stores create local value loops together.","[""faq"",""philosophy"",""values""]"
,"Store app (coming)","Dedicated store app will enable instant confirmations and offline-tolerant scans.","[""roadmap"",""stores"",""mechanics"",""faq""]"
,"NFC (coming)","Tap-to-redeem NFC tags to reduce QR friction and spoofing.","[""roadmap"",""nfc"",""mechanics"",""anti-fraud"",""faq""]"
,"Average contribution today (signal)","Many businesses choose to pay above the recommended PWYW price; current average is around $50/month.","[""pricing"",""pwyw"",""credibility"",""faq""]"
,"How youth get invited back","Update offers periodically, add images, and enable optional notifications. Youth will see you rise in the catalogue.","[""faq"",""retention"",""offers"",""best-practice""]"
,"Recommended first offers","Small but meaningful: e.g., 15% off plant-based lunch, $10 thrift bundle, $5 organic coffee for students.","[""offers"",""examples"",""playbook"",""faq""]"
,"Optimize your offer","Tune cap/time windows; add a hero image; invite youth back when you update the offer.","[""offers"",""best-practice"",""retention"",""faq""]"
,"Meeting CTA (snippet)","Let’s list your first offer (10 mins) or grab a 15-minute chat this week.","[""sales"",""cta"",""email-snippet"",""faq""]"
,"What is Ecodia?","Ecodia is a youth-first organisation building local value loops: we connect young people (16–30, no ID check required) with values-aligned local businesses, and we run the digital rails that make those relationships visible, rewarding and regenerative.","[""ecodia"",""org"",""about"",""youth"",""business"",""local""]"
,"Mission & values","Our mission is to create local value with proof—not offsets. We prioritise people, planet and youth; we favour circular economies over linear consumption; we reward positive action and the businesses that enable it.","[""ecodia"",""mission"",""values"",""proof-not-offsets"",""circularity""]"
,"Why Ecodia exists","Cost of living is crushing youth and responsible local businesses compete with extractive giants. Ecodia routes real demand to values-aligned places and turns everyday purchases into visible, compounding local impact.","[""ecodia"",""context"",""problem"",""solution"",""impact""]"
,"Where ECO Local fits","ECO Local is our flagship program: youth discover offers from responsible local businesses, redeem in-store by scanning, and earn ECO + XP. Businesses grow real foot traffic and see simple impact analytics.","[""ecolocal"",""program"",""youth"",""business"",""offers"",""scan""]"
,"Organisation snapshot","Ecodia operates the brand (ECO Local and related initiatives) and the platform (EcodiaOS). We approve businesses, maintain community standards, run comms, and continually improve tools for districts like the Sunshine Coast.","[""ecodia"",""org"",""governance"",""districts"",""sunshine-coast""]"
,"Youth eligibility","Youth are broadly 16–30 with no strict ID requirement; it’s a demographic focus, not a gate. Participation is free, and ECO/XP comes from sidequests and in-store scans at partner businesses.","[""youth"",""eligibility"",""free"",""xp"",""eco""]"
,"Business eligibility & exclusions","Businesses should be locally owned and values-aligned. We exclude offers and practices that promote linear economies, over-consumption, irresponsible or destructive activity. Approvals typically within one day.","[""business"",""eligibility"",""exclusions"",""approval""]"
,"How pricing works (business)","Pay-what-you-want monthly. Many pay at or above our recommended amount (avg ≈ $50/month currently). No lock-ins or cancellation fees. Contributions fund youth reach, ops and platform improvements.","[""pricing"",""business"",""pwyw"",""membership""]"
,"Proof, not offsets","We focus on visible participation and local results. ECO redemptions, scans and sidequests create traceable signals businesses and communities can see—proof of action instead of abstract offset claims.","[""proof-not-offsets"",""impact"",""measurement""]"
,"Data & privacy basics","We collect only what’s needed for the service: geolocation (at scan), time, user ID, device ID, business ID, offer, ECO amount, and approximate savings. No data is sold. Subprocessors handle hosting, email and maps under strict terms.","[""privacy"",""data"",""telemetry"",""subprocessors"",""security""]"
,"Subprocessors snapshot","Primary vendors include Vercel (front-end hosting), Google Cloud/Run (APIs & storage), Cloudflare (DNS/edge), Stripe (payments), AWS SES (email), Neo4j (graph DB AU-hosted), Open-Meteo (weather), OpenAI (LLM features, no-training), and map tile providers (OSM/CARTO/Esri).","[""privacy"",""subprocessors"",""hosting"",""compliance""]"
,"Fraud protection & cooldowns","QR redemptions are geo-fenced with global and per-offer cooldowns, plus device/user checks. EcodiaOS continuously monitors patterns to reduce abuse while keeping redemption fast in-store.","[""fraud"",""security"",""qr"",""cooldown"",""geo""]"
,"Support & issues","Stores can correct mistaken redemptions by emailing via their dashboard. Youth need data/Wi-Fi to scan (for now); stores don’t need internet once their QR is on display.","[""support"",""operations"",""redemptions"",""qr""]"
,"What is EcodiaOS?","EcodiaOS (also “Ecodia-Alive”) is the operating system for local value loops: a modular platform that powers ECO Local, sidequests (ECO/XP), maps/catalogue, wallet, outreach, calendar and analytics.","[""ecodiaos"",""platform"",""overview"",""modules""]"
,"Core architecture (plain language)","Front-end runs on Next.js with a bright, crisp UI; back-end APIs are on FastAPI; the graph of people, businesses, offers and events lives in Neo4j. Everything is built for clear audit trails, semantic search and fast iteration.","[""ecodiaos"",""architecture"",""nextjs"",""fastapi"",""neo4j""]"
,"Key modules","Modules include: ECO Local (offers + scans), Sidequests (earn ECO/XP), Wallet (ECO balances), Map & Catalogue (discovery), Calendar/Invites, Recruiter/Outreach (partner growth), and Impact Dashboards.","[""ecodiaos"",""modules"",""eco"",""xp"",""map"",""catalogue"",""impact""]"
,"Semantic docs & retrieval","EcodiaOS maintains an internal knowledge base (EcoLocalDoc) indexed with embeddings for fast, accurate answers to email and support questions. Content is kept short, factual and frequently refreshed.","[""ecodiaos"",""search"",""embeddings"",""docs"",""faq""]"
,"Security posture","We use modern hosting with TLS, scoped secrets, access logs and principle of least privilege. Payments are via Stripe (Ecodia never stores full card PAN). Business claims can be audited; youth can flag misalignment.","[""security"",""stripe"",""auditing"",""trust""]"
,"Analytics for businesses","Business dashboards show scans, unique visitors, ECO distributed, top offers, time-of-day patterns and estimated savings created for youth. Impact metrics grow as sidequest links deepen.","[""analytics"",""dashboard"",""impact"",""business""]"
,"Roadmap (high level)","Near-term: SMS flows, richer badges/achievements, store-linked sidequests, NFC taps, expanded map UX, deeper impact narratives and district rollouts. The goal: a self-reinforcing local value loop.","[""roadmap"",""badges"",""nfc"",""districts"",""ux""]"
,"What is Ecodia Alive (EOS)?","Ecodia Alive (EOS) is the living operating system of the eco-district: a persistent, conversational intelligence that routes context, coordinates tools, and represents the district’s values in every interaction.","[""ecodia"",""eos"",""alive"",""overview"",""district"",""intelligence""]"
,"EOS in the ecosystem","EOS is the connective tissue across programs: ECO Local, Sidequests (ECO/XP), Recruiter/Outreach, Calendar/Invites, Wallet, Impact Dashboards, and Knowledge/Docs.","[""eos"",""orchestration"",""programs"",""integration""]"
,"How EOS speaks","EOS uses a bright, crisp, youth-first voice: solarpunk, practical, hopeful. Phrases include “Proof, not offsets” and “RIGHTFULLY OURS.” Tone stays respectful, specific, and action-oriented.","[""eos"",""voice"",""style"",""solarpunk"",""youth""]"
,"EOS persona guardrails","EOS is a facilitator—not a person. It avoids pretending to have lived experience, clearly cites limits, and escalates to humans for policy, legal, or safety-sensitive decisions.","[""eos"",""guardrails"",""persona"",""safety""]"
,"What EOS does vs does not do","EOS routes info, drafts replies, schedules holds, suggests offers/windows, and updates records. It doesn’t sign contracts, approve businesses, process payments, or make final compliance calls.","[""eos"",""scope"",""limits"",""governance""]"
,"Human oversight","All sensitive actions (approvals, data changes, removals, exceptions) require a human steward. EOS flags uncertainty and hands off with a compact summary + suggested next steps.","[""eos"",""oversight"",""steward"",""handoff""]"
,"The eco-district vision","Ecodia’s crown jewel is a living district: an entire suburb focused on regenerative tech, community, food systems, mobility, culture and youth opportunity—measured by visible local value.","[""district"",""vision"",""regeneration"",""youth"",""local-value""]"
,"Proof, not offsets (mechanism)","Participation is recorded as signals—scans, sidequests, visits, invites—so the district can show proof of action and compounding local value instead of abstract offset claims.","[""proof-not-offsets"",""signals"",""measurement"",""impact""]"
,"Data minimisation","EOS only collects what’s needed to operate: at scan—coarse geolocation, time, user/device ID, business/offer, ECO amount, approximate savings. Nothing is sold; subprocessors are contracted with limited use.","[""privacy"",""data"",""minimisation"",""subprocessors""]"
,"Privacy & controls","Users can request export or correction via dashboard/email. Sensitive operations are logged. Production systems use TLS, scoped secrets, role-based access and regional hosting prioritised for AU.","[""privacy"",""security"",""compliance"",""rbac"",""audit""]"
,"Abuse & fraud handling","EOS enforces global/user/offer cooldowns, device checks and geo-fenced scans; EcodiaOS anomaly models watch for patterns. Suspected abuse triggers soft locks and human review.","[""fraud"",""cooldowns"",""geofence"",""monitoring"",""security""]"
,"Sidequests connection","Youth earn ECO/XP through human-validated sidequests. EOS links sidequest outcomes to redemptions so businesses see which positive actions they helped incentivise.","[""sidequests"",""eco"",""xp"",""attribution"",""impact""]"
,"ECO & wallet basics","ECO tracks participation and support across the district. The wallet holds ECO and shows history; future links include events, exchanges and district-level contributions.","[""eco"",""wallet"",""history"",""exchanges"",""future""]"
,"Outreach & onboarding","EOS assists outreach with context-aware drafts, calendar holds and follow-ups. Final approval of partners is human-run with values and eligibility checks.","[""recruiter"",""outreach"",""onboarding"",""calendar""]"
,"UI & experience","Interfaces favour clarity, fast paths and low cognitive load: bright tokens (mint/gold/forest), strong contrast, glass surfaces used sparingly, and motion used for feedback—not flair.","[""ui"",""design"",""tokens"",""contrast"",""motion""]"
,"Failure modes & recovery","If EOS is unsure, it asks for context or escalates. If a tool fails, it retries with backoff, then provides a human-readable error + next best manual path.","[""resilience"",""retries"",""escalation"",""fallbacks""]"
,"Governance & community","The district sets values and exclusions (anti-overconsumption, pro-local/regenerative). Youth can flag misalignment; repeated issues trigger audits or delisting.","[""governance"",""community"",""exclusions"",""audit""]"
,"Roadmap highlights","Soon: SMS flows, NFC taps, store-linked sidequests, richer badges, district events, expanded impact stories, and multi-district coordination.","[""roadmap"",""nfc"",""badges"",""events"",""impact""]"
,"Boundaries & disclaimers","EOS provides information, coordination and drafts. It is not legal, medical or financial advice; it avoids claims it can’t verify and cites sources when needed.","[""boundaries"",""disclaimer"",""accuracy""]"
,"Contact & support","Businesses fix mistaken redemptions via dashboard email. General support is available through the site; urgent issues route to a human steward.","[""support"",""contact"",""redemptions"",""steward""]"
